Source Display for .\DNA2InstrumentErrorCodes.json,,,,
ErrorName,ErrorModule,ErrorType,ErrorDisplaysMsg,ErrorDisplayMsg
HANDLER_EJECTOR_FAILED,PlateHandler,ServiceCall,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_X_AXIS_FAILED,PlateHandler,ServiceCall,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_Y_AXIS_FAILED,PlateHandler,ServiceCall,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_Z_AXIS_FAILED,PlateHandler,ServiceCall,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_EJECTOR_RECOVERED,PlateHandler,Warning,TRUE,Handler ejector recovered
HANDLER_X_AXIS_RECOVERED,PlateHandler,Warning,TRUE,Handler x axis recovered
HANDLER_Y_AXIS_RECOVERED,PlateHandler,Warning,TRUE,Handler y axis recovered
HANDLER_Z_AXIS_RECOVERED,PlateHandler,Warning,TRUE,Handler z axis recovered
HANDLER_UNKNOWN_ERROR,PlateHandler,ServiceCall,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_NOT_CALIBRATED,PlateHandler,ServiceCall,TRUE,The Plate Handler is out of calibration. Please call Bio-Rad support to resolve the issue.
HANDLER_EXTEND_FAILED,PlateHandler,ServiceCall,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_RETRACT_FAILED,PlateHandler,ServiceCall,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_LOAD_FAILED,PlateHandler,ServiceCall,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_UNLOAD_FAILED,PlateHandler,ServiceCall,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_NOT_INITIALIZED,PlateHandler,ServiceCall,TRUE,Handler not initialized
