Source Display for .\Instrument Errors.xlsx
ErrorName,ErrorId,ErrorType,ErrorDisplaysMsg,ErrorDisplayMsg
HANDLER_EJECTOR_FAILED,1,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
HANDLER_X_AXIS_FAILED,2,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
HANDLER_Y_AXIS_FAILED,3,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
HANDLER_Z_AXIS_FAILED,4,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
HANDLER_EJECTOR_RECOVERED,5,Warning,False,
HANDLER_X_AXIS_RECOVERED,6,Warning,False,
HANDLER_Y_AXIS_RECOVERED,7,Warning,False,
HANDLER_Z_AXIS_RECOVERED,8,Warning,False,
HANDLER_UNKNOWN_ERROR,9,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
HANDLER_NOT_CALIBRATED,10,ServiceCall,True,"The Plate Handler is out of calibration.  Please call Bio-Rad support to resolve the issue."
HANDLER_EXTEND_FAILED,11,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
HANDLER_RETRACT_FAILED,12,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
HANDLER_LOAD_FAILED,13,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
HANDLER_UNLOAD_FAILED,14,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
HANDLER_NOT_INITIALIZED,15,ServiceCall,False,
HANDLER_IN_ERROR_STATE,16,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
HANDLER_PLATE_MISSING,17,Warning,False,
HANDLER_ASKED_TO_MOVE_OUT_OF_RANGE,18,ServiceCall,True,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_HEAT_STAKER_ERROR,19,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_HEAT_STAKER_MOTION_ERROR,20,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_DROPLET_GENERATION_ERROR,21,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_HEAD_MOTION_ERROR,22,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_STAGE_MOTION_ERROR,23,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_PRESSURE_TIMEOUT_ERROR,24,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_VACUUM_TIMEOUT_ERROR,25,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_NO_PLATE_ERROR,26,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_NO_CATCH_ERROR,27,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_NO_RESPONCE_ERROR,28,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_NOT_VALID_CHIP_ERROR,29,AssistanceNeeded,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_TANK_FILL_ERROR,30,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_EMPTY_WASTE_ERROR,31,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_EMPTY_WASTE_DENIED,32,Warning,False,
DG_BUSY,33,ServiceCall,True,"A Droplet Generator error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DG_HEATER_ERROR,34,ServiceCall,False,
DG_UNKNOWN_ERROR,35,ServiceCall,False,
DR_DISCOVERY_FAILED,36,ServiceCall,True,"A Droplet Reader error has occurred. Power cycle the instrument and try again. If the issue persists, please call Bio-Rad support."
DR_STAGE_HOMING_AFTER_ERROR,37,ServiceCall,False,
DR_STAGE_NOT_CALIBRATED,38,ServiceCall,True,"A Droplet Reader error has occurred. Power cycle the instrument and try again. If the issue persists, please call Bio-Rad support."
DR_DATA_RECEIVER_NOT_RUNNING,39,ServiceCall,False,
DR_DETECTOR_LED_ERROR,40,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DR_NOT_ALL_BOARDS_REGISTERED,41,ServiceCall,True,"A Droplet Reader error has occurred. Power cycle the instrument and try again. If the issue persists, please call Bio-Rad support."
DR_CONFIG_INVALID,42,ServiceCall,True,"A Droplet Reader error has occurred. Power cycle the instrument and try again. If the issue persists, please call Bio-Rad support."
DR_MASTER_IN_ERROR,43,ServiceCall,False,
DR_WAIT_FOR_READ_TIMEOUT,44,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
DR_DETECTOR_IN_ERROR,45,ServiceCall,True,"A Droplet Reader error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support."
