TOTAL JOIN TABLE SUMMARY:::::,,,,,,,,,,,
,,,,,,,,,,,
"	FirstValueSource = .\Instrument Errors.xlsx",,,,,,,,,,,
"	SecondValueSource = .\DNA2InstrumentErrorCodes.json",,,,,,,,,,,
ErrorCode_1,ErrorCode_2,ErrorType_1,ErrorType_2,ErrorModule,ErrorModuleSuggestions,ErrorHasMsg_1,ErrorHasMsgSuggestion_1,ErrorMsg_1,ErrorHasMsg_2,ErrorHasMsgSuggestion_2,ErrorMsg_2
HANDLER_EJECTOR_FAILED,HANDLER_EJECTOR_FAILED,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_X_AXIS_FAILED,HANDLER_X_AXIS_FAILED,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_Y_AXIS_FAILED,HANDLER_Y_AXIS_FAILED,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_Z_AXIS_FAILED,HANDLER_Z_AXIS_FAILED,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_EJECTOR_RECOVERED,HANDLER_EJECTOR_RECOVERED,Warning,Warning,PlateHandler,PlateHandler,FALSE,FALSE,,TRUE,TRUE,Handler ejector recovered
HANDLER_X_AXIS_RECOVERED,HANDLER_X_AXIS_RECOVERED,Warning,Warning,PlateHandler,PlateHandler,FALSE,FALSE,,TRUE,TRUE,Handler x axis recovered
HANDLER_Y_AXIS_RECOVERED,HANDLER_Y_AXIS_RECOVERED,Warning,Warning,PlateHandler,PlateHandler,FALSE,FALSE,,TRUE,TRUE,Handler y axis recovered
HANDLER_Z_AXIS_RECOVERED,HANDLER_Z_AXIS_RECOVERED,Warning,Warning,PlateHandler,PlateHandler,FALSE,FALSE,,TRUE,TRUE,Handler z axis recovered
HANDLER_UNKNOWN_ERROR,HANDLER_UNKNOWN_ERROR,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,"A Plate Handler error has occurred.  Please allow the current runs to complete, if possible.  Then power cycle the instrument and try again.  If the issue persists, please call Bio-Rad support.",TRUE,TRUE,"A Plate Handler error has occurred.
 Please allow the current runs to complete, if possible.
 Then power cycle the instrument and try again.
 If the issue persists, please call Bio-Rad support."
HANDLER_NOT_CALIBRATED,HANDLER_NOT_CALIBRATED,ServiceCall,ServiceCall,PlateHandler,PlateHandler,TRUE,TRUE,The Plate Handler is out of calibration.  Please call Bio-Rad support to resolve the issue.,TRUE,TRUE,The Plate Handler is out of calibration. Please call Bio-Rad support to resolve the issue.
